user_pseudo_id,device_category,country,traffic_medium,count_view_item,count_add_to_cart,count_begin_checkout,target_has_purchased
1018325.2675818745,desktop,United States,(none),0,0,0,0
1034873.2565456828,desktop,United States,organic,0,0,0,0
1035102.1465935078,mobile,Spain,<Other>,0,0,0,0
1070488.0264495067,desktop,United States,organic,3,0,0,0
1091029.8690027225,mobile,Switzerland,referral,0,0,0,0
1098069.6255213844,mobile,Japan,referral,0,0,0,0
1101965.3295089104,mobile,Sweden,organic,0,0,0,0
1107291.2394728227,desktop,Poland,<Other>,1,0,0,0
1140798.4477437179,mobile,France,referral,0,0,0,0
1174420.0354856260,mobile,United States,referral,0,0,0,0
1176889.8146401251,desktop,United States,referral,1,0,0,0
1238258.9328903529,desktop,India,referral,0,0,0,0
1291230.5555665286,mobile,United Kingdom,organic,0,0,0,0
1293486.3022661260,desktop,Greece,organic,7,0,0,0
1298805.4876099706,mobile,(not set),(none),0,0,0,0
1314468.1411736532,desktop,United States,organic,0,0,0,0
1359539.9505400776,desktop,United States,organic,0,0,0,0
1442181.1876979854,mobile,China,referral,13,0,2,1
1455721.3598423441,desktop,United Arab Emirates,<Other>,0,0,0,0
1469671.7858857010,desktop,United States,<Other>,0,0,0,0
1473276.0491452719,desktop,United States,(none),0,0,0,0
1480886.4356903217,desktop,United States,(data deleted),0,0,0,0
1504850.0419123899,mobile,Italy,referral,0,0,0,0
1559546.3543471282,desktop,India,organic,0,0,0,0
1576266.1445909218,desktop,Australia,<Other>,0,0,0,0
1578376.9254626230,desktop,France,organic,1,0,0,0
1579385.5631117067,mobile,Kazakhstan,organic,0,0,0,0
1611121.6714439150,mobile,India,(none),0,0,0,0
1664364.5318141866,desktop,United States,organic,0,0,0,0
1686049.6825406467,desktop,Germany,referral,5,0,4,1
1718981.1175107785,desktop,United States,<Other>,2,0,0,0
1768698.8083301977,desktop,United States,referral,2,0,0,0
1788358.9771903257,desktop,United States,referral,0,0,0,0
1835807.5954816787,mobile,Canada,referral,0,0,0,0
1880466.1474616595,mobile,India,(none),0,0,0,0
1941437.7507363215,desktop,France,referral,0,0,0,0
2025845.0089116404,mobile,United States,referral,0,0,0,0
2083457.1673573258,desktop,Netherlands,referral,0,0,0,0
2094113.0995265592,mobile,Spain,<Other>,0,0,0,0
2128440.0123514206,desktop,United States,(none),1,0,0,0
2192596.1479427559,desktop,Canada,referral,10,0,8,0
2199861.5289021628,desktop,India,referral,0,0,0,0
2200018.8560870208,mobile,United States,organic,0,0,0,0
2289793.0064666493,mobile,Canada,(none),0,0,0,0
2355998.1368568176,mobile,United States,(none),4,0,0,0
2377474.8453276727,desktop,United States,organic,58,0,2,0
2417130.0230552380,mobile,United States,organic,3,0,2,0
2424731.8770828843,mobile,Italy,organic,4,0,0,0
2427361.0014840446,mobile,Netherlands,organic,0,0,0,0
2452475.6122183021,mobile,United States,<Other>,0,0,0,0
2467562.8928137317,desktop,United States,referral,0,0,0,0
2491003.0640611326,desktop,United States,(none),0,0,0,0
2514922.1421828454,desktop,Hungary,<Other>,2,0,0,0
2527243.4502949094,mobile,United States,referral,1,0,0,0
2533602.9278640486,desktop,Russia,referral,1,0,0,0
2539781.2803611821,mobile,Canada,referral,28,0,0,0
2542344.3384090321,mobile,United States,organic,2,0,0,0
2546580.3192467306,mobile,India,organic,0,0,0,0
2565909.7289019587,desktop,Canada,organic,0,0,0,0
2573622.6472421393,desktop,Indonesia,<Other>,0,0,0,0
2586672.9125625422,desktop,Israel,(none),1,0,0,0
2608196.0515557365,mobile,Canada,<Other>,0,0,0,0
2608250.2019907603,mobile,United States,referral,0,0,0,0
2658351.2072821978,desktop,Lithuania,organic,0,0,0,0
2666468.7766373447,mobile,United States,organic,0,0,0,0
2673044.5145660065,desktop,United States,<Other>,0,0,0,0
2684492.9013162085,mobile,Canada,(none),0,0,0,0
2695885.0509877838,mobile,United States,(none),0,0,0,0
2772974.2741282668,desktop,Kenya,referral,2,0,0,0
2778623.3697523881,desktop,United States,organic,0,0,0,0
2815881.7353443199,mobile,Brazil,organic,0,0,0,0
2856517.7517879985,mobile,United States,referral,2,0,0,0
2889859.5015646293,desktop,United States,cpc,0,0,0,0
2897600.9544290237,desktop,United States,organic,0,0,0,0
2945969.2618809441,desktop,United States,organic,1,0,0,0
2958235.8897883452,desktop,India,organic,0,0,0,0
2970287.2538188069,desktop,United States,referral,1,0,0,0
2977692.1486414275,desktop,Croatia,referral,0,0,0,0
3045637.8061060716,desktop,France,<Other>,9,0,0,0
3054895.5439174876,mobile,United States,organic,0,0,0,0
3055925.6809203128,mobile,India,referral,1,0,0,0
3163043.3799560243,desktop,United States,referral,6,0,0,0
3216660.2777581876,mobile,United Arab Emirates,(none),0,0,0,0
3240759.4531410520,desktop,India,organic,0,0,0,0
3276810.0323376715,desktop,India,referral,0,0,0,0
3338004.7484009345,desktop,Spain,(none),2,0,0,0
